attributes,basePeriod,dimensions,footnotes,geoAreaCode,geoAreaName,geoInfoUrl,goal,indicator,lowerBound,series,seriesCount,seriesDescription,source,target,timeCoverage,timePeriodStart,time_detail,upperBound,value,valueType
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],19,Americas,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2019.0,,,4120204.524,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],19,Americas,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2020.0,,,4191782.185,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],19,Americas,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2021.0,,,4263004.89,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],19,Americas,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2022.0,,,4328359.146,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],20,Andorra,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Environment, Agriculture and Livestock",['12.5'],,2018.0,,,388.6,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],20,Andorra,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Environment, Agriculture and Livestock",['12.5'],,2019.0,,,358,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],20,Andorra,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Environment, Agriculture and Livestock",['12.5'],,2020.0,,,381.9,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],20,Andorra,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Environment, Agriculture and Livestock",['12.5'],,2021.0,,,371.7,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],20,Andorra,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Environment, Agriculture and Livestock",['12.5'],,2022.0,,,389.3,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],20,Andorra,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Environment, Agriculture and Livestock",['12.5'],,2023.0,,,374.6,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],28,Antigua and Barbuda,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Department of the Environment, Ministry of Health and the Environment",['12.5'],,2020.0,,,2140,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],28,Antigua and Barbuda,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Department of the Environment, Ministry of Health and the Environment",['12.5'],,2021.0,,,2120,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2010.0,,,1029609,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2011.0,,,937343,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2012.0,,,743132,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2013.0,,,2150701,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2014.0,,,2102610.303,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2015.0,,,2321282.189,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2016.0,,,2531045.358,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2017.0,,,2684978.586,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2018.0,,,2882630.301,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2019.0,,,3078540.187,Float
