Country,Year,Value,Series,Series Description
Australia and New Zealand,2017.0,614636.5801,EN_EWT_GENV,E-waste generated (tonnes)
Australia and New Zealand,2018.0,631845.7585,EN_EWT_GENV,E-waste generated (tonnes)
Australia and New Zealand,2019.0,647142.2046,EN_EWT_GENV,E-waste generated (tonnes)
Australia and New Zealand,2020.0,661070.5365,EN_EWT_GENV,E-waste generated (tonnes)
Australia and New Zealand,2021.0,673267.6372,EN_EWT_GENV,E-waste generated (tonnes)
Australia and New Zealand,2022.0,683732.1701,EN_EWT_GENV,E-waste generated (tonnes)
Australia and New Zealand,2023.0,693089.4993,EN_EWT_GENV,E-waste generated (tonnes)
Australia and New Zealand,2024.0,702016.4476,EN_EWT_GENV,E-waste generated (tonnes)
Australia and New Zealand,2025.0,710919.6613,EN_EWT_GENV,E-waste generated (tonnes)
Bangladesh,2019.0,170393.9,EN_EWT_GENV,E-waste generated (tonnes)
Bangladesh,2020.0,165091.1,EN_EWT_GENV,E-waste generated (tonnes)
Bangladesh,2021.0,171823.6,EN_EWT_GENV,E-waste generated (tonnes)
Belarus,2022.0,81289,EN_EWT_GENV,E-waste generated (tonnes)
Belarus,2023.0,82484,EN_EWT_GENV,E-waste generated (tonnes)
Bhutan,2019.0,1029.99997,EN_EWT_GENV,E-waste generated (tonnes)
Bosnia and Herzegovina,2019.0,28208,EN_EWT_GENV,E-waste generated (tonnes)
Bosnia and Herzegovina,2020.0,28959,EN_EWT_GENV,E-waste generated (tonnes)
Bosnia and Herzegovina,2021.0,29717,EN_EWT_GENV,E-waste generated (tonnes)
Bosnia and Herzegovina,2022.0,30410,EN_EWT_GENV,E-waste generated (tonnes)
Bosnia and Herzegovina,2023.0,31394,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2000.0,306300,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2005.0,412590,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2010.0,542800,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2011.0,571960,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2012.0,600840,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2013.0,628080,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2014.0,653360,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2015.0,675620,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2016.0,696300,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2017.0,712990,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2018.0,727880,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2019.0,740980,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2020.0,752340,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2021.0,763410,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2022.0,774430,EN_EWT_GENV,E-waste generated (tonnes)
Canada,2023.0,786150,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2010.0,147899.9386,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2011.0,157636.1652,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2012.0,167185.6251,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2013.0,176182.3491,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2014.0,184541.6651,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2015.0,192496.9859,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2016.0,200170.8037,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2017.0,207524.5536,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2018.0,214952.2232,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2019.0,222236.0484,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2020.0,228786.0593,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2021.0,234809.7072,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2022.0,241178.6306,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2023.0,247959.9231,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2024.0,255095.6299,EN_EWT_GENV,E-waste generated (tonnes)
Caribbean,2025.0,262558.9939,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2010.0,940188.7047,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2011.0,1010627.989,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2012.0,1084343.459,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2013.0,1156701.01,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2014.0,1228534.987,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2015.0,1301752.861,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2016.0,1377012.563,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2017.0,1454292.89,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2018.0,1533769.439,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2019.0,1610106.264,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2020.0,1679462.283,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2021.0,1746323.242,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2022.0,1810595.934,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2023.0,1874216.498,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2024.0,1937100.748,EN_EWT_GENV,E-waste generated (tonnes)
Central America,2025.0,1999536.296,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2010.0,2043803.999,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2011.0,2279013.91,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2012.0,2525709.269,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2013.0,2779652.469,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2014.0,3051992.69,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2015.0,3356226.933,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2016.0,3707292.538,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2017.0,4099091.625,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2018.0,4532725.627,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2019.0,5006091.259,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2020.0,5492976.063,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2021.0,5992830.334,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2022.0,6536468.516,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2023.0,7113963.577,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2024.0,7715691.53,EN_EWT_GENV,E-waste generated (tonnes)
Central and Southern Asia,2025.0,8333757.844,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2010.0,160908.428,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2011.0,178100.1644,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2012.0,196345.516,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2013.0,215023.4241,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2014.0,233640.6149,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2015.0,251673.7103,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2016.0,270522.7507,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2017.0,290855.7115,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2018.0,311235.3193,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2019.0,331949.8779,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2020.0,352948.8627,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2021.0,374580.8593,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2022.0,396132.5548,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2023.0,419711.6106,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2024.0,445239.2391,EN_EWT_GENV,E-waste generated (tonnes)
Central Asia,2025.0,472542.0414,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2000.0,97980,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2005.0,131590,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2010.0,197260,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2011.0,213510,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2012.0,230250,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2013.0,247100,EN_EWT_GENV,E-waste generated (tonnes)
